"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ServicesCategory.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","Army","YOUNG",1.74122619905713,NA
"2",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","Army","YOUNG",3.7103262680211,NA
"3",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","Army","YOUNG",6.43041945635874,3.96065730781232
"4",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Products (All)","Army","YOUNG",1.70840731732104,3.94971768056696
"5",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","Army","YOUNG",2.64585472603037,3.59489383323672
"6",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Products (All)","Army","YOUNG",7.29667147781996,3.88364450705712
"7",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","Army","YOUNG",2.97619936663774,4.30624185682936
"8",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","Army","YOUNG",3.90568412408894,4.72618498951554
"9",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","Army","YOUNG",4.42706737798265,3.76965028956977
"10",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","Army","YOUNG",3.13796408545553,3.82357186250904
"11",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","Army","YOUNG",5.53504371011931,4.36669172451916
"12",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Products (All)","Army","YOUNG",2.84008512541215,3.83769764032899
"13",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Products (All)","Army","YOUNG",5.45831472816703,4.61114785456616
"14",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Products (All)","Army","YOUNG",6.31549015190889,4.87129666849602
"15",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Products (All)","Army","YOUNG",12.986568377115,8.25345775239696
"16",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Products (All)","Army","YOUNG",2.97914389744533,7.42706747548973
"17",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"Products (All)","Army","YOUNG",1.82859914581078,5.93143714012369
"18",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Products (All)","Army","YOUNG",7.63771842641264,4.14848715655625
"19",2009-01-01,2009-03-31,"Q2",2009-04-26,2.25479452054795,"Products (All)","Army","YOUNG",2.87182992295952,4.11271583172765
"20",2009-02-01,2009-03-31,"Q2",2009-04-26,2.33972602739726,"Products (All)","Army","YOUNG",2.79985978930504,4.43646937955907
"21",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"Products (All)","Army","YOUNG",4.67190617057805,3.44786529428087
"22",2009-04-01,2009-06-30,"Q3",2009-04-26,2.5013698630137,"Products (All)","Army","YOUNG",3.12228232851267,3.53134942946525
"23",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Products (All)","Army","YOUNG",1.21234439654687,3.00217763187919
